fid,id,inscricoes,latitude,longitude,elevacao,setor_abastecimento
"56","232","1810960",-3.74850022489357,-38.4744442133182,20,"18"
"57","233","684830",-3.76566325162361,-38.5147044487877,17.7980117797852,"6"
"58","235","4931424",-3.75665881302183,-38.4693500379657,25,"18"
"59","236","585653",-3.73022828612255,-38.4665283680982,52.2183532714844,"18"
"60","237","7745842",-3.72931947958773,-38.4676073694111,53.1389045715332,"18"
"61","238","10624430",-3.80125676079865,-38.4701550401754,11.8396520614624,"10"
"62","239","3049523",-3.76874369658638,-38.5151144616688,11.6900405883789,"6"
"63","240","8051470",-3.78379715422128,-38.5019857065103,5.50097751617432,"10"
"64","241","6587682",-3.7791680552141,-38.5057107577658,4,"10"
"65","244","4995619",-3.79056232244287,-38.5044490770332,8.30894088745117,"10"
"66","245","351440",-3.7270758928509,-38.5207724742232,17,"2"
"67","246","7123582",-3.74342139582654,-38.4718805606198,17.3554668426514,"18"
"68","247","5491134",-3.77915426712192,-38.5017111167131,4.88272142410278,"10"
"69","250","4417453",-3.76263548959223,-38.5168640154189,4.63196563720703,"6"
"70","254","4174640",-3.80078013970012,-38.4709186049011,14.1198043823242,"10"
"71","256","7274726",-3.7989070849358,-38.4733906416708,20,"10"
"72","257","4197976",-3.72690392101912,-38.4724141274046,51.49609375,"18"
"73","258","5087660",-3.76042727104568,-38.4702595979946,16.2067737579346,"18"
"74","259","5519969",-3.78704769640438,-38.4909641601219,19,"10"
"75","260","6032796",-3.77531131872021,-38.477304179064,9.72802829742432,"10"
"76","261","8049750",-3.7818421965984,-38.5009376993013,6.32763576507568,"10"
"77","262","5168139",-3.76993911821236,-38.472667514022,14,"10"
"78","263","5664390",-3.75791648623461,-38.4697635464738,26.4690475463867,"18"
"79","264","759791",-3.75824907844556,-38.4692514363399,23.2483558654785,"18"
"80","266","10587799",-3.80062314890798,-38.4743080794975,18.0556545257568,"10"
"81","267","6804837",-3.76906367435198,-38.4974781625098,6,"10"
"82","268","4386051",-3.78066920282471,-38.5127047051888,4.37735605239868,"6"
"83","270","3513050",-3.76907701080951,-38.4949357374637,13.7939729690552,"10"
"84","271","5282284",-3.79058675265481,-38.4936061064661,20.457592010498,"10"
"85","272","8276005",-3.78932582021552,-38.4702194376615,16.1024608612061,"10"
"86","273","10410317",-3.74841854675297,-38.4724259950635,20,"18"
"87","274","5117259",-3.79857616211817,-38.4695837881897,17.2145576477051,"10"
"88","275","346772",-3.72525918880298,-38.5278316540541,17.2048416137695,"2"
"89","276","10367446",-3.77374835852644,-38.4955356268121,11.4355926513672,"10"
"90","277","3132757",-3.76453659050305,-38.5144658725101,12.7995500564575,"6"
"91","278","6799558",-3.71151309706071,-38.465651525646,4,"18"
"92","279","5165458",-3.77020490019609,-38.4737878168681,14,"10"
"93","280","8048932",-3.77498088207411,-38.5065270222047,3.01367425918579,"10"
"94","281","3513149",-3.76952154837917,-38.4955526266424,10.5383272171021,"10"
"95","282","10813861",-3.77634523872034,-38.5068094407698,4.16984224319458,"10"
"96","283","8813140",-3.80286572529085,-38.4733083176419,11.3964214324951,"10"
"97","285","5106540",-3.78585355313807,-38.5058890909072,5.11204195022583,"10"
"98","286","5098815",-3.78111401798662,-38.5085253249525,4.62141990661621,"10"
"99","287","8879079",-3.80003091854334,-38.5109829481126,5,"10"
"100","288","5283841",-3.78722856320628,-38.4906695422195,19,"10"
"101","289","4196511",-3.70942454752531,-38.4656878242032,3.29383707046509,"18"
"102","290","3132927",-3.76515848083039,-38.5151077586697,16.0191192626953,"6"
"103","291","4023820",-3.7088723986017,-38.470424763952,6.36451721191406,"18"
"104","292","780170",-3.75861532695204,-38.4690585758859,22.2103080749512,"18"
"105","294","10643842",-3.76717893680049,-38.5164528132566,17.0776863098145,"6"
"106","295","1475487",-3.76285159338384,-38.51590412594,3.92305183410645,"6"
"107","296","6756891",-3.78471910950214,-38.5010671650335,9.06312561035156,"10"
"108","297","5120241",-3.80751935330178,-38.4625974242557,15,"10"
"109","298","5118751",-3.79791031615648,-38.4721773395694,18.241153717041,"10"
"110","299","5110793",-3.79944190378269,-38.507807108623,5,"10"
"111","300","5322286",-3.77872094579453,-38.500636029047,6.50098276138306,"10"
"112","301","10264248",-3.77926704556347,-38.5006818613852,6.71597242355347,"10"
